property_name,Estate_name,property_address,property_location
5bdrm Maisonette,Buruburu,jogoo road,Not available
Furnished 3bdrm Apartment,Zuri Apartments-Kilimani ,Zuri Apartments-Kilimani ,Not available
2bdrm Apartment,Zimmerman-Nairobi Central ,zimmerman,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
Studio Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Apartment,Zimmerman Estate ,Zimmerman Street,Not available
1bdrm Bedsitter,Zimmerman ,zimmerman,Not available
1bdrm Block of Flats,Zimmerman ,zimmmerman,Not available
1bdrm Block of Flats,Zimmerman ,zimmerman,Not available
1bdrm Apartment,Zimmerman ,Zimmerman,Not available
1bdrm Bedsitter,Zimmerman ,Unfurnished,Not available
1bdrm Block of Flats,Zimmerman ,Newly-Built,Not available
1bdrm Bedsitter,Zimmerman ,Zimmerman,Not available
1bdrm Block of Flats,Zimmerman ,Zimmerman,Not available
1bdrm Bedsitter,Zimmerman ,Zimmerman,Not available
1bdrm Bedsitter,Zimmerman ,Zimmerman,Not available
1bdrm Bedsitter,Zimmerman ,Zimmerman,Not available
1bdrm Block of Flats,Zimmerman ,Mirema stage behind khetias supermarket,Not available
1bdrm Block of Flats,Zimmerman ,zimmerman,Not available
