property_name,property_type,property_description,No_of_bedrooms,No_of_bathrooms,property_location,property_address,Estate_name,property_size,property_condition,Furnishing,price,Agency_fee,No_of_toilets,caution_fee,agency,agent_contact,country,area,specific_area,date_posted,internal_features,external_features,,
Furnished 2bdrm Apartment in Westlands for Rent,Apartment,"To let: furnished apartment, westlands.
2 bedrooms, all ensuite-rhapta road. 
enjoy the essence of luxurious living when you secure a stay at this posh and ultra-modern apartments located in one of the most sort after locations in nairobi. the complex contemporary architectural design and craftsmanship is complemented by the quality fixtures & fittings designed to enhance the living experience of it's occupants. 
features:
chic, open plan, modern living spaces.
fully fitted kitchens with german bosch inbuilt appliances in matt black including, microwave, oven, hob and extractor hood.
high quality porcelain spanish tiles throughout the apartments.
villeroy and bosch, designer sanitary ware and tapware. 
fitted gypsum ceilings with led lights.
salient features:
rooftop heated infinity swimming pool with scenic views. 
rooftop lawn. 
fully fitted gym. 
steam room. 
reliable water supply. 
back up generators. 
high-speed lifts. 
price: ksh 240k/month",2 bedrooms,3 bathrooms,Not available,RHAPTA ROAD,"138
     
      sqm",,Furnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,08/05/2024,"Backup Generator

|



En Suite

|



Service Charge Included

|



Walk In Closet

|



Furnished

|



Fibre Internet

|



Serviced

|



Alarm","CCTV

|



Electric Fence

|



Lift/Elevator

|



Parking

|



Balcony

|



Gym

|



Garden

|



Swimming Pool

|



BBQ

|



Kids Play Area

|



Pet Friendly

|



Staff Quarters",,
"1bdrm Apartment in Lenana, Kilimani for rent",Apartment,"#Deal of the day .
Executive one bedroom apartment to let in ngongroad going for #ksh25k
Large living room 
Spacious open kitchen with a pantry 
Own balcony
Family friendly 
Ample parking
Constant water supply borehole 
Internet connectivity 
Guard service CCTV cameras 24/7
 Viewing fee applies 
For more information call me on",1 bedroom,1 bathroom,Not available,Ngongroad lenana,Lenana,650,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,07/05/2024,"Alarm

|



Fibre Internet

|



Service Charge Included","CCTV

|



Electric Fence

|



Parking

|



Wheelchair Access",,
1bdrm Apartment in South C for Rent,Apartment,"Very spacious one bedrooms in a serene environment. its newly renovated, well lit, kitchen spacious enough with fitted cabinet, bedroom has wall to wall wardrobe, has both city council and borehole water, cctv cameras common areas and underground parking.",1 bedroom,1 bathroom,Not available,Nextgen Mall,Renovated,,Pets Allowed,"Wi-Fi, Tiled Floor, Wardrobe, Hot Water, Pre-Paid Meter, Kitchen Cabinets, Kitchen Shelf",,Not available,Not available,Not available,,Not available,kenya,,,07/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Walk In Closet

|



Service Charge Included","Gym

|



Lift/Elevator

|



Kids Play Area

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Garden

|



Borehole

|



Electric Fence

|



CCTV

|



BBQ

|



Balcony

|



Pet Friendly",,
"1bdrm Apartment in Rayohproperty, Tudor for Rent",Apartment,"RAYOHPROPERTY
2bedroom to let Tudor near poly with silent features
__no balcony
__seccurity tight day and night.
__free Borehole water.
__seccurity
__self
__wardropes.
_Parking
__central area.
__cieling fans
__closed kitchen
 More information call",1 bedroom,1 bathroom,Not available,ray,RAYOHPROPERTY,,Unfurnished,Pets Allowed,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Serviced

|



En Suite

|



Furnished

|



Fibre Internet","Parking

|



Electric Fence

|



Borehole

|



Garden

|



Gated Community

|



Kids Play Area",,
1bdrm Apartment in Ruiru Mugutha for rent,Apartment,"Affordable 1 Bedrooms (Kes 10k) Available For Rent In Ruiru Mugutha Area At Kwa Wambui Apartments
Bedsitter | Kes 5,500 per month
1 Bedrooms | Kes 10k per month
Welcome on Site For Bookings",1 bedroom,1 bathroom,Not available,Ruiru Mugutha,Ruiru Mugutha,100,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"En Suite

|



Service Charge Included

|



Walk In Closet","Balcony

|



Garden

|



Parking

|



Gated Community

|



Kids Play Area",,
1bdrm Bedsitter in Ruai for rent,Bedsitter,"Executive Self-contained bedsitters
Location: Stage 26 Just after Ruai Town and before Kamulu.
More info.
*Guaranteed water supply. Individual Water meter. Billed per unit, based on 
*Individual electricity token (Prepaid)
*Kitchen sink and shelve fittings
*Tiles fitted floors 
*Tiles fitted washrooms 
*Secure. Locked gate with individual keys
*Round the clock caretaker services
*Ample parking. ( At owners risk)
*Conveniently located next to the road 
*Street lighting all the way to the apartments 
*Public security floodlight.
*Roof Top with serene views
 -Take No. 39 from the CBD Bus station. 
-Alight at ""stage 26"" along Kangundo Road.
-Take a walk to Brillar apartments.
Karibu!",1 bedroom,1 bathroom,Not available,Ruai 26,Ruai,20,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,Not available,Not available,,
2bdrm Apartment in Thindigua/Kasarini for rent,Apartment,"A modern, new 2 bedrooms apartments located at Thindigua along Kiambu road, only 10km from Nairobi CBD.
Renting at ksh 40k,
Inclusive of the service charges.
It's a master ensuite.
Serene environment.
Green views.
2 balconies.
Modern touch finishings.
2 floor parkings.
It's family-friendly.
Also has 3 bedrooms at ksh 50k.
Call or whatsapp for more details and/or other options.",2 bedrooms,2 bathrooms,Not available,"Thindigua, Kiambu road.","112
     
      sqm",,Unfurnished,2,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"En Suite

|



Walk In Closet

|



Service Charge Included","Balcony

|



Garden

|



Parking

|



Staff Quarters

|



Kids Play Area",,
5bdrm Maisonette in Kitengela for rent,Maisonette,"4bedroom plus a dsq to let in kitengela@-45,000
 features 
- spacious kitchen with fitted cabinets 
- provision for intercom, internet and satellite tv
- high-quality ceramic tiles flooring
-spacious living room 
- master balcony 
-perimeter wall 
- borehole water supply 24/7
-granite kitchen tops with mdf wardrobes 
-ample parking
-built up area; 143m2
-master and family ensuite 
-built-in wardrobes in all bedrooms 
-open plan kitchen 
- 1km off the tarmac
kindly call",5 bedrooms,3 bathrooms,Not available,Kitengela,Kitengela,140,Detached,Fairly Used,,3,Unfurnished,1000,,Not available,kenya,,,11/05/2024,"En Suite

|



Walk In Closet

|



Service Charge Included","Balcony

|



Garden

|



Parking

|



Staff Quarters

|



Kids Play Area",,
"2bdrm Apartment in Othaya Road, Kileleshwa for rent",Apartment,"Kileleshwa ultra modern 2bedroom apartment for rent.
- High quality finishes
- Spacious living room
- Dining room
- Kitchen
- Laundry area
- Gym
- Borehole
- Lifts
- Kids play area
- Ample parking
- CCTV surveillance",2 bedrooms,2 bathrooms,Not available,Kileleshwa Nairobi,Othaya Road,120,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"En Suite

|



Walk In Closet

|



Service Charge Included","Balcony

|



Garden

|



Parking

|



Kids Play Area",,
1bdrm Apartment in Umoja for rent,Apartment,"One bedroom umoja cathsam.
House near main stage.",1 bedroom,1 bathroom,Not available,Umoja Innercore,Umoja,10,Fairly Used,Unfurnished,,3000,1,500,,Not available,kenya,,,11/05/2024,"En Suite

|



Walk In Closet

|



Service Charge Included","Garden

|



Parking",,
"1bdrm Bedsitter in Karunga Heights, Kiambu / Kiambu for rent",Bedsitter,"BEDSITTERS IN KIAMBU Bedsitters along Kiambu Ndumberi Road
Bedsitters Apartments Available 

Features & Amenities:
Elegant finishing
Fitted Kitchenette shelves
Fitted Hot Showers.
Quality Bathroom Fittings
Well lit rooms
Close proximity to public transport and utility centers
Quality Bathroom Fittings
Generator Power backup
Tight security
Internet facilities
Constant water supply
#rental #Rent #viral #property #Ruaka #bypass #ensuite #propertymarket #2bedrooms #lettingagent #sweethome #house #rental #Rent #tolet #apartments #japhetirungupropertydean #realtor #realestateagent #lettings #apartments #ruiru #apartmentsforrent
 #househunting #househunting #foryoupage #foryou",1 bedroom,1 bathroom,Not available,Kiambu -Ndumberi Road,Karunga Heights,15,Fairly Used,Unfurnished,,Not available,1,Not available,,Not available,kenya,,,11/05/2024,"En Suite

|



Service Charge Included

|



Walk In Closet","Balcony

|



Garden

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Gated Community

|



Kids Play Area",,
"Furnished 2bdrm Apartment in Arboretum, State House Area for rent",Apartment,"* master en suite.
* open plan kitchen with a breakfast table.
* separate dining area.
* tastefully furnished.
* full backup generator.
* Free Wi-Fi.
* swimming pool.
* gym.
* state of the art security features.
* very quiet, serene and secure neighborhood overlooking the Nairobi Arboretum.
* price inclusive of utility bills except electricity.",2 bedrooms,2 bathrooms,Not available,Kolobot Drive,Arboretum,,Furnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"En Suite

|



Walk In Closet

|



Service Charge Included

|



Serviced

|



Furnished

|



Fibre Internet","Balcony

|



CCTV

|



BBQ

|



Garden

|



Parking

|



Gated Community

|



Kids Play Area",,
"3bdrm Apartment in Valley Arcade, Lavington for rent",Apartment,"An executive spacious 3bedroom plus Dsq all en-suite apartment for rent in the heart of Lavington, Valley Arcade area.
- Borehole
- Backup generator
- Parking",3 bedrooms,3 bathrooms,Not available,Lavington Nairobi,Valley Arcade,226,Renovated,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"En Suite

|



Furnished

|



Fibre Internet

|



Serviced

|



Service Charge Included

|



Walk In Closet

|



Backup Generator

|



Alarm

|



Aircon","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Garden

|



Parking

|



Staff Quarters

|



Kids Play Area

|



Gated Community",,
One Bedrooms Near Tmall,Apartment,"Very spacious one bedrooms in a serene gated environment. its in first floor of few units apartments, rooms are well lit, spacious sitting room to fit even dinning table, bedroom is spacious as well with wall to wall wardrobe, has balcony for cold breeze. its ready for occupation with rent inclusive of water bill and services charge. to view call maryanne. agency fee applies.",1 bedroom,1 bathroom,Not available,Tmall,Renovated,,No Pets,"Kitchen Shelf, Kitchen Cabinets, Tiled Floor, Wardrobe, Pre-Paid Meter, Hot Water, Wi-Fi, Dining Area, Balcony",,Not available,1000,Not available,,Not available,kenya,,,11/05/2024,"En Suite

|



Walk In Closet

|



Service Charge Included","Balcony

|



Garden

|



Parking

|



Staff Quarters

|



Kids Play Area",,
2bdrm Apartment in Ruaka for rent,Apartment,"A spacious 2 bedroom apartment in Ruaka, 3 minutes drive from Two Rivers Mall.
Renting at ksh 32k.
Has an elevator.
A rooftop terrace.
A spacious balcony.
Family-friendly.
Ample parking.
Full-time water access.
And it's near the main road.
Call or whatsapp for more details and/or other options.",2 bedrooms,1 bathroom,Not available,Ruaka,"112
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"En Suite

|



Service Charge Included","Kids Play Area

|



Parking",,
"4bdrm Duplex in Valley Arcade, Lavington for rent",Duplex,"An exclusively newly build spacious 4bedroom plus Dsq all en-suite duplex apartment for rent in the heart of Lavington close to Valley Arcade Shopping Center.
- High quality finishes
- Spacious living room
- Dining room
- Fitted kitchen with pantry
- Laundry area
- Family room
- High speed elevators
- Rooftop swimming pool
- Gym
- Kids play area
- Parking
- Borehole and Nairobi water
- CCTV cameras and Intercom",4 bedrooms,4 bathrooms,Not available,Lavington Nairobi,Valley Arcade,270,Newly-Built,Semi-Furnished,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"En Suite

|



Fibre Internet

|



Service Charge Included","Parking

|



Garden",,
"3bdrm Apartment in Riana, State House Area for Rent",Apartment,"3bedroom with sq
spacious kitchen and dining area.
spacious kitchen
wooden floor
enough parking
swimming pool",3 bedrooms,4 bathrooms,Not available,Dennis pritt road,riana,1500,Fairly Used,Unfurnished,,Not available,Pets Allowed,Not available,,Not available,kenya,,,11/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Gym

|



Lift/Elevator

|



Parking

|



Wheelchair Access

|



Kids Play Area

|



Pet Friendly",,
5bdrm Townhouse / Terrace in Westlands for rent,Townhouse / Terrace,"Located in SPRING VALLEY suburb is this impressive 5 bedroom town house within a gated community of only 4 units.
The house is well lit, modern and expansive. The Features include the following: 
- All bedroom en-suite 
- Modern fitted kitchen with pantry 
- Separate dining area
- Living room opening to the balcony 
- Guest bedroom downstairs 
- Family room
- Master bedroom with walk-in closet and balcony 
- Laundry area
- DSQ
- Wooden floors
- Small front garden
- Amazing lush views",5 bedrooms,5 bathrooms,Not available,Spring Valley,"350
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Gym

|



Lift/Elevator

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Gated Community

|



Kids Play Area

|



Pet Friendly",,
Kilimani Spacious One Bedroom Apartment for Rent,Apartment,A spacious and well maintained one bedroom flat in Kilimani available for rent it is in a great location and very secure,1 bedroom,1 bathroom,Not available,No,5,,Yes,Yes,,Not available,Not available,Not available,,Not available,kenya,,,18/04/2024,"Alarm

|



Backup Generator

|



Fibre Internet

|



Furnished

|



Serviced","Balcony

|



CCTV

|



Electric Fence

|



Garden

|



Gym

|



Parking

|



Swimming Pool",,
"5bdrm Mansion in Balozi, Kitengela for rent",Mansion,"5 BEDROOM HOUSE FOR RENT 50,000/= AT BALOZI ROAD KITENGELA.
Key features:
>Elegant foyer leading into a sunlit living area, ideal for family gatherings or cozy nights in.
>Gourmet kitchen equipped with top-of-the-line appliances and ample counter space, perfect for culinary enthusiasts.
>Three ensuite bedrooms, offering unparalleled privacy and convenience. 
>Outside, a beautifully landscaped backyard awaits, offering the perfect setting for outdoor entertaining or peaceful relaxation.
>Borehole water connectivity.
>Ample parking.
With easy access to amenities and located in a desirable neighborhood, this home is the epitome of modern living. 
For more information and house viewing kindly contact us on",5 bedrooms,4 bathrooms,Not available,Balozi,Balozi,450,Fairly Used,Unfurnished,,Not available,4,Not available,,Not available,kenya,,,09/05/2024,"Alarm

|



Service Charge Included

|



Walk In Closet

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished","Gym

|



Lift/Elevator

|



Kids Play Area

|



Parking

|



CCTV

|



Electric Fence

|



Borehole

|



Swimming Pool

|



Wheelchair Access

|



Garden",,
